date,1_year
2012-03-20,2.8711
2012-03-21,2.8775
2012-03-22,2.8816
2012-03-23,2.8528
2012-03-26,2.8436
2012-03-27,2.8436
2012-03-28,2.8485
2012-03-29,2.8336
2012-03-30,2.8355
2012-03-31,2.8355
2012-04-01,2.8551
2012-04-05,2.8595
2012-04-06,2.8731
2012-04-09,2.8698
2012-04-10,2.8712
2012-04-11,2.8714
2012-04-12,2.8994
2012-04-13,2.8799
2012-04-16,2.8835
2012-04-17,2.872
2012-04-18,2.8545
2012-04-19,2.846
2012-04-20,2.837
2012-04-23,2.8473
2012-04-24,2.8439
2012-04-25,2.8455
2012-04-26,2.8489
2012-04-27,2.8541
2012-04-28,2.8562
2012-05-02,2.845
2012-05-03,2.8496
2012-05-04,2.8618
2012-05-07,2.8612
2012-05-08,2.8572
2012-05-09,2.8399
2012-05-10,2.7978
2012-05-11,2.7531
2012-05-14,2.5488
2012-05-15,2.4766
2012-05-16,2.4042
2012-05-17,2.4267
2012-05-18,2.4196
2012-05-21,2.4317
2012-05-22,2.3817
2012-05-23,2.3517
2012-05-24,2.261
2012-05-25,2.2347
2012-05-28,2.25
2012-05-29,2.25
2012-05-30,2.2534
2012-05-31,2.2307
2012-06-01,2.2042
2012-06-04,2.2
2012-06-05,2.2104
2012-06-06,2.2215
2012-06-07,2.2514
2012-06-08,2.1587
2012-06-11,2.1779
2012-06-12,2.1889
2012-06-13,2.209
2012-06-14,2.2508
2012-06-15,2.246
2012-06-18,2.2609
2012-06-19,2.3308
2012-06-20,2.3708
2012-06-21,2.3655
2012-06-25,2.3666
2012-06-26,2.3616
2012-06-27,2.3716
2012-06-28,2.3566
2012-06-29,2.342
2012-07-02,2.347
2012-07-03,2.3452
2012-07-04,2.3252
2012-07-05,2.3129
2012-07-06,2.2525
2012-07-09,2.1979
2012-07-10,2.2161
2012-07-11,2.2236
2012-07-12,2.2287
2012-07-13,2.2171
2012-07-16,2.2353
2012-07-17,2.2453
2012-07-18,2.2513
2012-07-19,2.2591
2012-07-20,2.2699
2012-07-23,2.2849
2012-07-24,2.2891
2012-07-25,2.2819
2012-07-26,2.278
2012-07-27,2.2977
2012-07-30,2.2952
2012-07-31,2.3077
2012-08-01,2.3277
2012-08-02,2.3306
2012-08-03,2.3553
2012-08-06,2.3728
2012-08-07,2.4078
2012-08-08,2.4378
2012-08-09,2.4381
2012-08-10,2.3959
2012-08-13,2.4134
2012-08-14,2.4183
2012-08-15,2.4572
2012-08-16,2.4622
2012-08-17,2.4745
2012-08-20,2.5216
2012-08-21,2.5566
2012-08-22,2.5814
2012-08-23,2.63
2012-08-24,2.6275
2012-08-27,2.6412
2012-08-28,2.6863
2012-08-29,2.6963
2012-08-30,2.6917
2012-08-31,2.6806
2012-09-03,2.6775
2012-09-04,2.6251
2012-09-05,2.6255
2012-09-06,2.6155
2012-09-07,2.6364
2012-09-10,2.6475
2012-09-11,2.6574
2012-09-12,2.7023
2012-09-13,2.7365
2012-09-14,2.7984
2012-09-17,2.7984
2012-09-18,2.8022
2012-09-19,2.8022
